managing_body,fund,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_symbol,instrument_id,underlying_asset,industry,rating,rating_agency,date_of_purchase,average_of_duration,currency,intrest_rate,yield,par_value,rate,market_cap,fair_value,rate_of_ipo,rate_of_fund,date_of_revaluation,type_of_asset,tmp_name
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",ביג אגח ג- ביג מרכזי קניות  בע"מ,1106947,,נדל"ן ובינוי,A2,מידרוג,,3.87,NIS,4.85,2.25,171387,133.15,228.2017905,,0.0273709786235671,0.0735770578407892,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דלק קבוצה אגח יג- קבוצת דלק בע"מ,1105543,,השקעה ואחזקות,A,מעלות,,4.32,NIS,4.6,3.34,869995,127.27,1107.2426365,,0.0952626217238832,0.35699831859798,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דלק קבוצה אגח כג- קבוצת דלק בע"מ,1107465,,השקעה ואחזקות,A,מעלות,,1.28,NIS,4.75,1.89,350000.02,121.34,424.690024268,,0.054128430191112,0.136928997846635,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דמרי אגח ג- י.ח.דמרי בניה ופיתוח בע"מ,1109685,,נדל"ן ובינוי,A2,מידרוג,,1.21,NIS,6.1,2.35,1125000,123,1383.75,,4.32233060065988,0.446150109357674,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",ישרס אגח ה- ישרס חברה להשקעות בע"מ,6130082,,נדל"ן ובינוי,A2,מידרוג,,0.89,NIS,4.35,2.95,408106.02,125.86,513.642236772,,0.287204641372482,0.165609062407623,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מבני תעשיה אגח ח- מבני תעשיה בע"מ,2260131,,נדל"ן ובינוי,A2,מידרוג,,2.9,NIS,4.65,3.76,300000,124.55,373.65,,0.0415308435038908,0.120472620315444,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מבני תעשיה אגח ט- מבני תעשיה בע"מ,2260180,,נדל"ן ובינוי,A2,מידרוג,,3.71,NIS,5.05,4.31,413571,121.85,503.9362635,,0.0396088671892333,0.162479652444316,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מבני תעשייה אגח יד- מבני תעשיה בע"מ,2260412,,נדל"ן ובינוי,A2,מידרוג,,4.67,NIS,6.1,5.46,400000,103.41,413.64,,0.142323936395433,0.133366237567992,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",נורסטאר אגח ט- נורסטאר החזקות אינק  לשעבר גזית אינק,7230303,,נדל"ן ובינוי,A,מעלות,,4.64,NIS,4.7,3.79,500000,112.15,560.75,,0.0933017550433331,0.180797596258223,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",נכסים ובנין אגח ג- חברה לנכסים ולבנין בע"מ,6990139,,נדל"ן ובינוי,A,מעלות,,2.75,NIS,5,2.83,419841.63,125.79,528.118786377,,0.0298602164513908,0.170276606537265,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",נכסים ובנין אגח ד- חברה לנכסים ולבנין בע"מ,6990154,,נדל"ן ובינוי,A,מעלות,,8.2,NIS,4.95,5.61,200000,113.27,226.54,,0.0162036030425706,0.0730412616252123,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",שיכון ובינוי אגח 4- שיכון ובינוי - אחזקות בע"מ,1117910,,נדל"ן ובינוי,A2,מידרוג,,3.81,NIS,4.8,2.65,1000000,117.8,1178,,0.0855273913808223,0.379811981082811,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",שלמה החזקות בע"מ אגח י- ש. שלמה החזקות בע"מ לשעבר ניו קופל,1410216,,שרותים,A,מעלות,,0.8,NIS,3.35,2.27,279999.97,108.37,303.435967489,,0.0765957363810386,0.0978341391712875,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אלבר אגח ג- אלבר שירותי מימונית בע"מ,1110618,,שרותים,A3,מידרוג,,0.17,NIS,5,3.57,134285.96,119.84,160.928294464,,0.575496096931389,0.0518866675149829,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אלבר אגח ו- אלבר שירותי מימונית בע"מ,1110642,,שרותים,A3,מידרוג,,0.05,NIS,5.75,7.31,34304.47,116,39.7931852,,0.347698399690984,0.0128301600207192,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אפריקה תעשיות  אגח א- אפריקה ישראל תעשיות בע"מ,8000085,,מתכת ומוצרי בניה,A3,מידרוג,,1.21,NIS,5.8,1.75,400000.02,123.74,494.960024748,,0.232030131524185,0.159585524241371,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אשדר אגח א- אשדר חברה לבניה בע"מ,1104330,,נדל"ן ובינוי,A3,מידרוג,,3.52,NIS,4.85,4.24,594641.66,122.15,726.35478769,,0.283491134567027,0.234192063566659,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט מנפיקים שה נד 1- דיסקונט מנפיקים בע"מ,7480098,,בנקים,A-,מעלות,,6.01,NIS,6.4,2.54,600000,141.41,848.46,,0.0479240691049102,0.273561352690596,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דרבן אגח ז- דרבן השקעות בע"מ,4110128,,נדל"ן ובינוי,A3,מידרוג,,0.89,NIS,5.9,3.29,400000.02,119.5,478.0000239,,0.379654343720043,0.154117263187683,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",כור אגח ח- כור תעשיות בע"מ,6490312,,השקעה ואחזקות,A-,מעלות,,2.07,NIS,5.1,3.63,704000,122.06,859.3024,,0.0736667675399109,0.277057170537533,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",כלכלית ים אגח ד- כלכלית ירושלים בע"מ,1980119,,נדל"ן ובינוי,A-,מעלות,,0.64,NIS,5.5,4.56,174428,126.18,220.0932504,,0.128520630125978,0.0709626939366547,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",כלכלית ים אגח ה- כלכלית ירושלים בע"מ,1980150,,נדל"ן ובינוי,A3,מידרוג,,1.35,NIS,4.75,6.25,69000.01,119.53,82.475711953,,0.0162352919247065,0.0265919045399696,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",כלכלית ים אגח י- כלכלית ירושלים בע"מ,1980317,,נדל"ן ובינוי,A-,מעלות,,4.59,NIS,6.75,8.24,500000,99.26,496.3,,0.423679982646068,0.160017560451103,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אפריקה   אגח כו- אפריקה-ישראל להשקעות בע"מ,6110365,,נדל"ן ובינוי,Baa1,מידרוג,,4.26,NIS,6,14.39,1872296,81.31,1522.3638776,,0.0532337235652433,0.490842139456848,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אדגר אגח ד- אדגר השקעות ופיתוח בע"מ,1820117,,נדל"ן ובינוי,BBB,מעלות,,0.67,NIS,6.35,3.46,2224.41,126.2,2.80720542,,0.00700867926689872,0.000905102081389308,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט השקעות אגח ד- חברת השקעות דיסקונט בע"מ,6390157,,השקעה ואחזקות,BBB,מעלות,,1.61,NIS,5,11,740307.2,115.13,852.31567936,,0.0471719636553922,0.27480450482654,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט השקעות אגח ו- חברת השקעות דיסקונט בע"מ,6390207,,השקעה ואחזקות,BBB,מעלות,,6.92,NIS,4.95,9.44,1146318,87.97,1008.4159446,,0.0913972334664869,0.325134514154517,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט השקעות אגח ח- חברת השקעות דיסקונט בע"מ,6390223,,השקעה ואחזקות,BBB,מעלות,,3.45,NIS,4.45,10.06,482662,100.61,485.6062382,,0.25802661192458,0.156569666686684,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דלק ישראל אגח א- דלק חברת הדלק הישראלית בע"מ,6360069,,שרותים,BBB,מעלות,,1.97,NIS,5.1,4.48,424000,121.41,514.7784,,0.0636536669795134,0.165975385333311,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",פלאזה סנטרס אגח ב- פלאזה סנטרס,1109503,,נדל"ן ובינוי,BBB-,מעלות,,1.33,NIS,5.4,25.27,843774.75,90.47,763.363016325,,0.100729497376653,0.24612429500488,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",פטרוכימים אגח ב- מפעלים פטרוכימיים בישראל בע"מ,7560048,,כימיה- גומי ופלסטיק,Ba1,מידרוג,,5.9,NIS,5.1,14.52,257782,69.7,179.674054,,0.0515564,0.0579306947359253,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אידיבי פיתוח אגח ז- אידיבי חברה לפתוח בע"מ,7980121,,השקעה ואחזקות,BB,מעלות,,2.02,NIS,4.5,34.95,1100000.1,68.21,750.31006821,,0.0678895989736387,0.24191574994331,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",לוי אגח ד- א.לוי השקעות ובנין בע"מ,7190077,,נדל"ן ובינוי,B1,מידרוג,,0.7,NIS,6.1,0.01,74393.56,75,55.79517,,0.536069503680609,0.0179895365471581,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אלביט הדמיה אגח ד- אלביט הדמיה בע"מ,1106996,,השקעה ואחזקות,B,מעלות,,1.84,NIS,5,50.59,200000,48.81,97.62,,0.0268051656336552,0.0314747415902411,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אלביט הדמיה אגח ו- אלביט הדמיה בע"מ,1107234,,השקעה ואחזקות,B,מעלות,,1.26,NIS,5.7,93.16,449440.91,48.8,219.32716408,,0.179122530937572,0.070715691591256,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",ארזים אגח 2- ארזים השקעות בע"מ,1380047,,נדל"ן ובינוי,D,מעלות,,1.03,NIS,2.0302,43.18,496988.8,82,407.530816,,1.3229214319752,0.131396508130097,,,
